x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
0.01,1.84,2.86,-4.22,20.09,35.09,0.0,0.0,1.0,16.07
-6.12,2.47,6.74,1.67,18.77,33.77,0.0,0.0,1.0,30.92
2.46,-2.87,4.64,5.25,40.52,55.52,0.0,0.0,1.0,20.18
-5.27,6.2,4.51,4.53,38.86,53.86,0.0,0.0,1.0,23.82
1.14,-3.46,-4.29,-5.78,49.99,64.99,0.0,0.0,1.0,14.18
5.83,5.36,-1.01,-5.17,7.02,22.02,0.0,0.0,1.0,30.13
-1.44,-4.66,1.66,3.92,5.69,20.69,0.0,0.0,1.0,21.91
4.68,5.69,1.73,6.4,41.81,56.81,0.0,0.0,1.0,7.29
-6.56,2.67,-0.29,5.58,36.25,51.25,0.0,0.0,1.0,16.6
0.16,3.99,-2.11,4.61,60.51,75.51,0.0,0.0,1.0,5.66
-5.34,0.87,-0.91,-4.78,28.25,43.25,0.0,0.0,1.0,17.24
-6.06,-4.01,6.08,6.46,16.02,31.02,0.0,0.0,1.0,38.48
-4.33,4.6,1.98,-5.45,24.88,39.88,0.0,0.0,1.0,28.48
-1.64,4.17,-6.66,3.54,30.44,45.44,0.0,0.0,1.0,12.14
-2.52,-0.4,1.59,2.17,5.29,20.29,0.0,0.0,1.0,11.63
-2.85,-5.49,-5.7,1.94,40.2,55.2,0.0,0.0,1.0,19.09
1.88,1.95,-4.84,4.63,3.17,18.17,0.0,0.0,1.0,17.36
3.24,-1.51,-0.98,5.78,36.37,51.37,0.0,0.0,1.0,20.22
-4.71,-5.19,-0.18,-4.81,41.93,56.93,0.0,0.0,1.0,10.93
6.53,5.89,-3.02,-3.32,14.88,29.88,0.0,0.0,1.0,31.85
-0.73,-1.88,-2.22,3.4,38.46,53.46,0.0,0.0,1.0,13.17
-4.6,1.1,-0.67,-0.1,45.44,60.44,0.0,0.0,1.0,9.85
1.83,1.78,-2.48,-2.01,38.78,53.78,0.0,0.0,1.0,13.78
3.18,-6.33,-1.62,-4.66,32.37,47.37,0.0,0.0,1.0,12.2
-0.33,-0.45,-5.57,-1.73,2.19,17.19,0.0,0.0,1.0,12.92
3.2,-3.51,-4.03,-3.4,0.0,0.0,86.79,101.79,0.0,17.37
6.69,-6.0,-2.67,-1.84,0.0,0.0,62.63,77.63,0.0,24.58
0.63,-0.16,-6.37,-4.89,0.0,0.0,54.36,69.36,0.0,20.26
2.93,5.86,4.81,-0.23,0.0,0.0,44.61,59.61,0.0,15.29
-4.92,5.03,1.16,-2.58,0.0,0.0,77.5,92.5,0.0,23.39
-5.02,6.24,-5.96,3.63,0.0,0.0,85.26,100.26,0.0,6.66
-1.36,6.27,-0.82,-3.95,0.0,0.0,54.19,69.19,0.0,24.57
5.57,2.61,-6.77,-3.39,0.0,0.0,63.03,78.03,0.0,32.94
2.66,3.34,1.05,-3.13,0.0,0.0,74.54,89.54,0.0,16.01
4.66,3.56,-0.24,-6.77,0.0,0.0,66.59,81.59,0.0,27.45
-5.24,-3.46,-6.7,-6.93,0.0,0.0,44.05,59.05,0.0,9.03
-6.6,5.02,-3.07,6.54,0.0,0.0,50.82,65.82,0.0,9.22
1.83,-2.79,-2.78,-5.07,0.0,0.0,35.1,50.1,0.0,12.34
-5.88,0.16,-2.1,2.98,0.0,0.0,26.95,41.95,0.0,11.31
4.3,4.58,0.2,-1.6,0.0,0.0,35.1,50.1,0.0,17.81
6.53,-3.76,-5.07,-0.79,0.0,0.0,51.05,66.05,0.0,28.75
-2.18,1.81,-0.04,3.13,0.0,0.0,15.71,30.71,0.0,6.05
-5.15,5.12,1.8,3.74,0.0,0.0,57.41,72.41,0.0,16.99
0.88,4.93,-4.66,6.35,0.0,0.0,40.67,55.67,0.0,13.74
1.8,-4.71,-0.79,-6.83,0.0,0.0,59.93,74.93,0.0,8.03
0.19,-4.0,-2.04,6.11,0.0,0.0,51.01,66.01,0.0,24.85
2.76,0.65,-6.19,0.16,0.0,0.0,66.43,81.43,0.0,21.52
0.92,-0.24,6.34,6.15,0.0,0.0,84.14,99.14,0.0,20.1
4.82,-1.88,5.14,0.69,0.0,0.0,29.11,44.11,0.0,6.23
5.62,3.78,0.3,2.19,0.0,0.0,84.24,99.24,0.0,13.34
