x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
1.17,-6.54,4.94,2.91,29.43,44.43,0.0,0.0,1.0,24.41
-4.17,3.3,4.69,-5.84,14.32,29.32,0.0,0.0,1.0,30.53
-6.17,6.77,-6.57,-4.54,31.07,46.07,0.0,0.0,1.0,27.15
-2.48,0.41,3.98,-4.88,7.46,22.46,0.0,0.0,1.0,20.06
-5.05,1.2,-4.33,-6.84,43.48,58.48,0.0,0.0,1.0,19.39
1.09,-1.17,0.11,-6.5,27.82,42.82,0.0,0.0,1.0,12.99
-4.76,-2.93,3.99,-3.66,11.1,26.1,0.0,0.0,1.0,21.07
-4.25,-5.68,-0.58,-4.75,23.26,38.26,0.0,0.0,1.0,9.09
-1.76,2.37,0.43,0.97,27.77,42.77,0.0,0.0,1.0,6.25
6.12,-5.99,0.52,2.94,35.65,50.65,0.0,0.0,1.0,25.31
2.78,-5.0,6.52,-5.29,13.56,28.56,0.0,0.0,1.0,9.01
-2.46,-4.77,6.18,5.37,13.83,28.83,0.0,0.0,1.0,31.96
2.26,6.54,-6.89,-3.99,23.89,38.89,0.0,0.0,1.0,33.49
-4.86,-5.19,-0.05,4.52,35.16,50.16,0.0,0.0,1.0,26.02
3.56,4.36,2.02,6.15,64.91,79.91,0.0,0.0,1.0,5.66
2.84,-4.07,-4.7,-3.9,28.57,43.57,0.0,0.0,1.0,18.11
-2.09,4.37,-3.9,5.54,17.07,32.07,0.0,0.0,1.0,5.19
1.65,3.04,4.46,6.56,37.63,52.63,0.0,0.0,1.0,10.8
3.5,-6.39,-2.16,6.12,20.83,35.83,0.0,0.0,1.0,32.95
-2.32,4.0,1.43,-0.22,43.99,58.99,0.0,0.0,1.0,13.55
1.58,3.15,5.62,1.46,22.36,37.36,0.0,0.0,1.0,10.5
0.56,-6.77,-0.43,-4.06,13.35,28.35,0.0,0.0,1.0,6.93
5.74,-6.73,-6.36,2.0,17.7,32.7,0.0,0.0,1.0,35.8
-2.17,-4.03,3.56,-1.11,12.53,27.53,0.0,0.0,1.0,15.45
-0.49,0.45,-5.73,1.38,4.93,19.93,0.0,0.0,1.0,12.79
-3.44,-4.49,-2.28,-0.2,0.0,0.0,80.34,95.34,0.0,10.68
-0.6,-2.13,2.52,-4.12,0.0,0.0,74.96,89.96,0.0,8.89
-1.43,-4.24,-6.96,-5.77,0.0,0.0,61.11,76.11,0.0,13.78
2.97,5.8,-2.55,2.27,0.0,0.0,62.87,77.87,0.0,15.73
-4.4,2.84,-2.37,0.63,0.0,0.0,25.52,40.52,0.0,7.2
-2.95,5.46,3.19,-1.89,0.0,0.0,87.8,102.8,0.0,22.98
-0.73,-0.55,6.25,2.5,0.0,0.0,57.98,72.98,0.0,18.28
4.05,-0.99,6.12,0.74,0.0,0.0,74.72,89.72,0.0,6.49
-3.44,-4.13,-6.07,-2.17,0.0,0.0,24.44,39.44,0.0,7.87
1.46,-4.79,6.39,1.54,0.0,0.0,55.12,70.12,0.0,19.25
0.1,-3.54,-2.77,-4.79,0.0,0.0,13.15,28.15,0.0,7.51
-0.91,-3.95,-1.13,1.56,0.0,0.0,30.27,45.27,0.0,13.22
6.76,5.51,0.2,-5.21,0.0,0.0,49.6,64.6,0.0,30.16
-2.16,0.07,-3.07,-1.88,0.0,0.0,15.95,30.95,0.0,5.16
-6.05,2.43,1.54,-3.32,0.0,0.0,56.02,71.02,0.0,22.86
4.93,0.81,-6.65,-3.26,0.0,0.0,76.83,91.83,0.0,29.46
0.47,-4.74,-3.56,-4.61,0.0,0.0,45.82,60.82,0.0,9.68
3.12,0.41,5.58,0.09,0.0,0.0,66.05,81.05,0.0,5.96
6.98,-0.23,3.57,-1.91,0.0,0.0,66.21,81.21,0.0,9.12
-6.66,-2.1,3.49,1.73,0.0,0.0,59.05,74.05,0.0,26.01
6.83,-1.23,-5.82,6.2,0.0,0.0,81.17,96.17,0.0,35.22
-2.41,1.66,-6.93,-0.15,0.0,0.0,38.58,53.58,0.0,11.69
-0.77,-4.11,-6.44,3.66,0.0,0.0,56.85,71.85,0.0,23.08
-6.47,2.95,2.17,-4.96,0.0,0.0,70.31,85.31,0.0,28.11
5.47,0.48,-4.54,5.19,0.0,0.0,55.59,70.59,0.0,26.53
