x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
6.13,-3.12,-1.73,1.24,12.4,27.4,0.0,0.0,1.0,21.59
5.06,-5.83,6.96,0.39,48.37,63.37,0.0,0.0,1.0,15.61
-6.18,-2.27,-5.57,4.27,10.04,25.04,0.0,0.0,1.0,15.78
-5.61,5.43,-2.49,2.54,24.59,39.59,0.0,0.0,1.0,10.19
3.53,-2.23,-3.5,3.91,18.37,33.37,0.0,0.0,1.0,22.41
4.92,0.55,-5.5,-5.91,4.07,19.07,0.0,0.0,1.0,29.43
2.4,-0.64,1.49,2.89,24.07,39.07,0.0,0.0,1.0,8.73
-5.75,-1.66,2.13,-2.69,35.37,50.37,0.0,0.0,1.0,19.07
-2.16,1.98,-6.21,0.07,58.43,73.43,0.0,0.0,1.0,10.75
1.2,-3.13,-4.92,4.11,26.91,41.91,0.0,0.0,1.0,22.77
-4.17,4.21,3.17,3.41,13.22,28.22,0.0,0.0,1.0,17.71
4.45,1.72,-6.48,-1.57,21.85,36.85,0.0,0.0,1.0,27.4
-0.41,-2.36,5.66,3.74,33.36,48.36,0.0,0.0,1.0,20.65
-5.65,6.88,-4.34,-0.78,28.24,43.24,0.0,0.0,1.0,18.64
6.13,-6.59,0.96,-6.34,48.51,63.51,0.0,0.0,1.0,12.43
-1.39,1.38,-2.03,5.06,54.34,69.34,0.0,0.0,1.0,8.97
2.6,2.7,-6.03,-6.81,13.16,28.16,0.0,0.0,1.0,30.83
-0.23,-0.09,0.63,-2.56,41.42,56.42,0.0,0.0,1.0,6.28
-2.53,3.91,5.5,2.96,41.43,56.43,0.0,0.0,1.0,19.4
3.89,-2.62,-6.77,2.23,17.87,32.87,0.0,0.0,1.0,28.11
-4.92,-6.11,0.23,-2.05,10.59,25.59,0.0,0.0,1.0,15.73
-4.6,2.19,1.0,-6.82,30.76,45.76,0.0,0.0,1.0,25.47
-0.56,-2.54,-0.49,0.33,59.31,74.31,0.0,0.0,1.0,6.89
-4.36,0.58,6.82,6.26,19.95,34.95,0.0,0.0,1.0,30.11
1.76,0.07,2.02,5.93,35.17,50.17,0.0,0.0,1.0,14.08
2.42,5.19,1.69,-3.9,12.07,27.07,0.0,0.0,1.0,21.89
5.83,-4.97,-1.52,-2.44,20.37,35.37,0.0,0.0,1.0,18.67
-5.84,-1.29,-3.71,-1.75,40.05,55.05,0.0,0.0,1.0,5.23
-2.05,-4.12,0.5,-5.15,7.21,22.21,0.0,0.0,1.0,6.58
-6.68,-0.36,-1.66,2.88,8.89,23.89,0.0,0.0,1.0,14.34
-5.44,-4.09,5.03,5.97,14.79,29.79,0.0,0.0,1.0,34.86
1.4,-0.94,-3.8,6.32,36.59,51.59,0.0,0.0,1.0,21.43
4.64,-1.69,6.03,-5.62,13.53,28.53,0.0,0.0,1.0,10.0
5.39,-4.05,-0.05,4.12,31.04,46.04,0.0,0.0,1.0,23.55
5.4,-2.89,-5.57,-6.66,13.0,28.0,0.0,0.0,1.0,27.82
-0.32,5.34,-1.5,0.47,31.19,46.19,0.0,0.0,1.0,12.03
1.67,-0.1,-3.59,4.4,23.38,38.38,0.0,0.0,1.0,16.59
-0.34,-0.7,-3.2,6.85,24.14,39.14,0.0,0.0,1.0,19.39
-5.68,-1.26,2.57,0.57,14.19,29.19,0.0,0.0,1.0,20.29
1.68,-3.8,-6.91,2.19,31.08,46.08,0.0,0.0,1.0,25.13
-5.8,4.9,-1.81,-4.81,17.98,32.98,0.0,0.0,1.0,25.18
2.48,-5.68,-3.68,-6.21,15.38,30.38,0.0,0.0,1.0,14.84
-4.62,3.25,-5.98,0.32,25.04,40.04,0.0,0.0,1.0,7.76
3.57,1.13,-1.77,6.53,0.38,15.38,0.0,0.0,1.0,18.21
-4.87,-4.01,2.7,3.79,30.81,45.81,0.0,0.0,1.0,26.09
5.19,-4.21,-2.49,-3.87,27.21,42.21,0.0,0.0,1.0,18.44
-2.08,-2.37,-5.6,-3.38,57.72,72.72,0.0,0.0,1.0,8.79
-1.63,1.9,2.41,0.75,17.82,32.82,0.0,0.0,1.0,10.09
0.47,-2.01,1.0,6.21,43.29,58.29,0.0,0.0,1.0,19.77
-5.99,4.7,4.22,-3.81,12.12,27.12,0.0,0.0,1.0,31.89
3.24,5.68,-5.39,-4.52,0.0,0.0,57.09,72.09,0.0,32.06
-0.92,-0.31,-4.82,-4.28,0.0,0.0,20.66,35.66,0.0,13.36
-5.01,2.14,-4.14,-1.83,0.0,0.0,86.47,101.47,0.0,9.76
-3.14,-5.84,4.63,3.79,0.0,0.0,83.33,98.33,0.0,29.72
-6.86,-3.34,6.15,1.65,0.0,0.0,81.84,96.84,0.0,33.43
5.85,-5.79,-0.16,0.99,0.0,0.0,49.04,64.04,0.0,21.76
5.66,5.87,-3.87,-3.72,0.0,0.0,81.26,96.26,0.0,32.46
-2.49,5.9,6.58,0.73,0.0,0.0,89.71,104.71,0.0,25.05
-2.53,-0.02,1.86,1.58,0.0,0.0,26.74,41.74,0.0,11.2
-1.82,-1.52,0.7,6.62,0.0,0.0,70.22,85.22,0.0,20.46
4.47,-4.75,-5.81,-6.22,0.0,0.0,46.13,61.13,0.0,24.92
0.66,-5.27,3.9,-4.9,0.0,0.0,37.52,52.52,0.0,7.82
4.43,-5.83,3.05,6.25,0.0,0.0,71.89,86.89,0.0,29.19
2.09,0.22,3.61,-3.63,0.0,0.0,32.62,47.62,0.0,9.92
-1.53,-1.72,5.1,4.97,0.0,0.0,40.3,55.3,0.0,22.6
-2.81,3.72,3.47,-6.42,0.0,0.0,45.02,60.02,0.0,28.62
-5.32,0.9,6.56,2.39,0.0,0.0,73.66,88.66,0.0,28.73
4.06,-5.69,-3.7,0.5,0.0,0.0,50.79,65.79,0.0,23.82
-0.85,-4.82,-5.96,-4.69,0.0,0.0,66.84,81.84,0.0,12.27
-6.07,-3.9,2.26,4.67,0.0,0.0,76.66,91.66,0.0,28.68
4.1,4.87,-2.72,6.03,0.0,0.0,62.35,77.35,0.0,16.6
-6.67,-4.81,-0.31,-0.64,0.0,0.0,53.21,68.21,0.0,18.26
-2.53,3.28,3.43,-5.58,0.0,0.0,46.81,61.81,0.0,25.63
-3.97,-0.64,0.75,3.46,0.0,0.0,56.34,71.34,0.0,15.01
2.15,-4.64,-1.18,4.17,0.0,0.0,79.8,94.8,0.0,22.61
-0.99,-1.81,0.88,1.93,0.0,0.0,53.56,68.56,0.0,10.04
1.53,2.43,0.94,-1.55,0.0,0.0,54.37,69.37,0.0,9.65
3.63,1.68,2.28,-5.37,0.0,0.0,31.78,46.78,0.0,17.23
-5.04,6.25,3.5,3.65,0.0,0.0,58.08,73.08,0.0,21.44
3.74,-2.8,4.21,-4.84,0.0,0.0,29.18,44.18,0.0,5.02
-1.78,-4.15,2.74,-5.9,0.0,0.0,70.51,85.51,0.0,11.64
4.92,-2.7,-4.28,4.36,0.0,0.0,45.29,60.29,0.0,27.85
6.36,4.67,0.22,-3.51,0.0,0.0,86.65,101.65,0.0,24.57
3.01,5.12,0.34,0.82,0.0,0.0,52.65,67.65,0.0,12.16
6.85,6.37,-0.02,-5.09,0.0,0.0,63.89,78.89,0.0,32.07
1.88,0.27,4.02,1.09,0.0,0.0,22.03,37.03,0.0,5.51
0.88,5.68,4.93,0.55,0.0,0.0,69.5,84.5,0.0,15.69
2.91,6.66,5.59,-6.13,0.0,0.0,59.78,74.78,0.0,31.35
-6.47,-6.72,0.21,-3.29,0.0,0.0,45.45,60.45,0.0,18.02
-6.53,-0.59,-3.33,-2.83,0.0,0.0,55.77,70.77,0.0,9.38
-0.23,-4.43,2.91,6.14,0.0,0.0,70.25,85.25,0.0,26.45
0.64,4.1,-5.19,-3.48,0.0,0.0,51.43,66.43,0.0,22.95
