x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
0.26,-2.15,-1.03,2.54,51.15,66.15,0.0,0.0,1.0,11.66
-6.19,-6.69,-0.46,1.09,10.56,25.56,0.0,0.0,1.0,23.18
0.36,-1.98,-2.51,0.61,57.38,72.38,0.0,0.0,1.0,9.28
2.9,-0.1,-5.5,5.48,8.32,23.32,0.0,0.0,1.0,24.2
-5.98,1.15,6.95,-2.06,20.5,35.5,0.0,0.0,1.0,31.98
3.51,6.62,2.19,4.25,42.11,57.11,0.0,0.0,1.0,6.5
-0.09,2.93,-0.28,0.68,1.66,16.66,0.0,0.0,1.0,5.4
3.08,-3.69,5.02,-2.69,52.44,67.44,0.0,0.0,1.0,5.23
-1.93,-3.06,-6.15,-5.22,30.92,45.92,0.0,0.0,1.0,11.38
-1.68,-0.03,-0.88,2.48,38.87,53.87,0.0,0.0,1.0,6.32
5.86,-2.05,1.77,-2.57,10.65,25.65,0.0,0.0,1.0,9.88
2.19,-6.55,5.53,3.18,16.28,31.28,0.0,0.0,1.0,24.68
4.11,-5.87,-4.52,6.28,16.63,31.63,0.0,0.0,1.0,35.79
-4.36,4.31,-4.88,0.83,49.23,64.23,0.0,0.0,1.0,8.44
3.05,-1.35,4.65,-5.61,46.22,61.22,0.0,0.0,1.0,10.92
2.56,-3.11,-3.36,2.4,20.91,35.91,0.0,0.0,1.0,19.42
4.95,4.82,2.42,0.21,36.27,51.27,0.0,0.0,1.0,12.6
-0.18,4.44,5.75,-3.03,33.96,48.96,0.0,0.0,1.0,22.87
-2.77,0.18,5.14,-5.37,18.26,33.26,0.0,0.0,1.0,23.2
4.56,0.94,-2.75,-3.16,5.94,20.94,0.0,0.0,1.0,20.11
-5.52,4.74,1.67,-5.48,20.04,35.04,0.0,0.0,1.0,29.99
3.5,5.76,5.32,-2.13,22.09,37.09,0.0,0.0,1.0,19.43
4.3,6.77,-0.87,-1.27,12.08,27.08,0.0,0.0,1.0,22.95
5.09,0.29,-6.23,1.19,12.13,27.13,0.0,0.0,1.0,27.25
6.13,0.84,2.65,-3.86,44.18,59.18,0.0,0.0,1.0,14.04
-5.27,6.47,-2.47,2.19,0.0,0.0,79.38,94.38,0.0,12.26
0.08,4.27,6.63,3.59,0.0,0.0,71.17,86.17,0.0,15.8
2.44,4.53,-4.62,-0.54,0.0,0.0,85.38,100.38,0.0,20.86
1.58,-5.69,-4.87,-3.1,0.0,0.0,80.5,95.5,0.0,16.68
-6.09,2.65,2.59,2.35,0.0,0.0,86.16,101.16,0.0,20.84
3.03,3.77,-2.52,-2.77,0.0,0.0,58.05,73.05,0.0,20.59
3.29,-4.57,5.81,3.78,0.0,0.0,77.0,92.0,0.0,20.95
-5.18,0.57,6.51,5.49,0.0,0.0,82.48,97.48,0.0,30.44
-6.18,-4.6,3.84,-4.38,0.0,0.0,73.05,88.05,0.0,24.05
-5.23,6.21,-6.4,-4.85,0.0,0.0,53.99,68.99,0.0,26.7
-0.25,3.3,-5.63,6.55,0.0,0.0,86.29,101.29,0.0,15.08
-4.48,-4.79,-1.33,-6.33,0.0,0.0,64.41,79.41,0.0,8.42
-4.14,-2.24,-6.03,-6.09,0.0,0.0,44.62,59.62,0.0,10.29
0.66,0.44,-1.21,4.53,0.0,0.0,46.3,61.3,0.0,10.78
6.75,-5.52,-4.38,0.76,0.0,0.0,56.8,71.8,0.0,30.67
6.51,-4.98,6.35,1.8,0.0,0.0,34.53,49.53,0.0,16.27
4.88,-1.55,4.28,6.77,0.0,0.0,66.18,81.18,0.0,20.02
-5.31,-2.89,-0.7,-2.96,0.0,0.0,18.83,33.83,0.0,11.06
6.85,6.68,2.12,3.43,0.0,0.0,63.19,78.19,0.0,13.77
-6.97,1.08,0.41,0.78,0.0,0.0,54.84,69.84,0.0,17.71
-6.55,1.49,-3.73,-3.56,0.0,0.0,32.28,47.28,0.0,13.89
-6.8,-1.75,3.4,-5.0,0.0,0.0,65.61,80.61,0.0,25.7
-6.82,2.89,-0.15,3.39,0.0,0.0,57.31,72.31,0.0,16.05
2.92,-2.69,-2.15,2.57,0.0,0.0,55.68,70.68,0.0,17.53
-0.83,-2.79,3.42,3.5,0.0,0.0,32.86,47.86,0.0,18.22
