x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
-1.89,-3.84,-0.76,1.99,17.19,32.19,0.0,0.0,1.0,14.23
0.36,4.63,-0.04,-6.73,18.33,33.33,0.0,0.0,1.0,27.26
4.04,-1.58,5.49,-6.13,46.12,61.12,0.0,0.0,1.0,11.47
3.61,1.69,1.6,-3.1,34.05,49.05,0.0,0.0,1.0,12.47
4.31,0.68,4.07,3.08,52.94,67.94,0.0,0.0,1.0,5.79
-0.55,-2.89,3.61,-1.46,22.4,37.4,0.0,0.0,1.0,10.54
3.67,-3.48,5.38,3.88,15.91,30.91,0.0,0.0,1.0,18.12
-2.65,6.39,-6.09,6.75,46.2,61.2,0.0,0.0,1.0,8.31
3.97,-5.72,-3.93,-6.75,12.21,27.21,0.0,0.0,1.0,19.13
3.08,2.61,-6.93,6.08,32.6,47.6,0.0,0.0,1.0,25.42
-1.25,-1.76,-2.59,-5.87,43.69,58.69,0.0,0.0,1.0,10.38
-0.35,0.04,-1.38,5.79,31.31,46.31,0.0,0.0,1.0,14.02
-6.26,-4.93,-5.7,-1.33,35.97,50.97,0.0,0.0,1.0,8.73
4.87,6.6,4.25,-6.42,20.18,35.18,0.0,0.0,1.0,31.31
3.82,2.8,5.98,6.79,22.07,37.07,0.0,0.0,1.0,10.89
1.87,-4.02,-2.11,1.68,42.98,57.98,0.0,0.0,1.0,16.68
-5.25,-5.41,-3.59,3.67,23.2,38.2,0.0,0.0,1.0,22.14
-4.16,-6.75,0.38,4.89,25.44,40.44,0.0,0.0,1.0,29.98
0.03,3.97,-4.85,-0.14,16.93,31.93,0.0,0.0,1.0,15.32
-1.64,1.17,0.26,-1.89,23.38,38.38,0.0,0.0,1.0,8.65
4.35,5.88,4.22,-0.54,23.93,38.93,0.0,0.0,1.0,15.41
-3.76,-6.85,1.41,6.75,9.37,24.37,0.0,0.0,1.0,34.91
1.68,2.89,6.91,-3.16,26.02,41.02,0.0,0.0,1.0,19.18
0.58,5.06,4.8,0.12,39.77,54.77,0.0,0.0,1.0,15.6
3.93,-4.34,-4.77,1.76,16.95,31.95,0.0,0.0,1.0,25.5
-2.37,-0.06,-4.5,-2.93,0.0,0.0,79.86,94.86,0.0,8.57
4.7,5.21,-3.1,-5.59,0.0,0.0,51.41,66.41,0.0,31.97
-5.89,4.35,-1.76,1.69,0.0,0.0,47.54,62.54,0.0,11.79
-0.31,3.68,0.22,-3.71,0.0,0.0,60.91,75.91,0.0,17.78
-3.86,5.38,-4.07,-4.12,0.0,0.0,81.1,96.1,0.0,22.79
6.46,2.52,-0.88,0.31,0.0,0.0,36.68,51.68,0.0,18.39
3.14,-1.1,1.73,-5.33,0.0,0.0,24.97,39.97,0.0,10.69
-5.21,5.42,1.36,6.03,0.0,0.0,66.01,81.01,0.0,15.85
4.72,-6.23,-1.54,2.07,0.0,0.0,51.88,66.88,0.0,24.95
-1.89,-2.67,4.27,2.86,0.0,0.0,72.47,87.47,0.0,19.87
-1.34,1.36,1.59,2.49,0.0,0.0,34.03,49.03,0.0,7.51
0.18,6.63,3.37,-5.53,0.0,0.0,89.22,104.22,0.0,30.17
-0.95,-0.26,3.57,-6.32,0.0,0.0,87.92,102.92,0.0,18.16
2.83,-2.68,-3.58,6.26,0.0,0.0,82.86,97.86,0.0,26.39
-6.72,4.7,-1.0,2.08,0.0,0.0,51.11,66.11,0.0,15.09
5.12,0.66,2.64,-6.73,0.0,0.0,49.4,64.4,0.0,18.72
-1.05,4.12,-6.9,-4.45,0.0,0.0,79.9,94.9,0.0,24.89
-1.04,-6.52,-4.75,-3.8,0.0,0.0,67.52,82.52,0.0,11.04
6.33,-3.11,4.34,-4.93,0.0,0.0,18.46,33.46,0.0,6.5
-4.76,-4.62,-5.57,-1.71,0.0,0.0,62.72,77.72,0.0,7.25
-4.76,2.43,-2.31,6.55,0.0,0.0,22.09,37.09,0.0,11.51
-5.25,5.57,4.41,2.46,0.0,0.0,81.28,96.28,0.0,24.35
6.61,0.43,-5.38,4.78,0.0,0.0,72.1,87.1,0.0,30.61
-1.49,0.4,2.7,6.08,0.0,0.0,65.74,80.74,0.0,16.92
-4.47,6.17,-6.91,-4.37,0.0,0.0,77.67,92.67,0.0,25.97
