x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
-0.06,2.05,-5.9,-0.3,17.56,32.56,0.0,0.0,1.0,15.11
2.39,0.01,-5.7,-0.86,12.18,27.18,0.0,0.0,1.0,19.53
-0.19,-5.47,3.59,6.62,25.47,40.47,0.0,0.0,1.0,30.39
-1.34,-6.67,-4.81,-5.82,13.24,28.24,0.0,0.0,1.0,8.57
2.29,2.36,4.5,-2.12,3.68,18.68,0.0,0.0,1.0,11.99
-2.07,6.47,-2.02,-3.6,13.65,28.65,0.0,0.0,1.0,24.16
3.46,6.18,0.55,5.16,44.64,59.64,0.0,0.0,1.0,7.38
-5.3,1.04,5.53,-5.24,26.46,41.46,0.0,0.0,1.0,30.05
1.62,-0.46,3.96,-6.42,37.73,52.73,0.0,0.0,1.0,15.36
4.98,-3.44,2.39,1.96,19.16,34.16,0.0,0.0,1.0,14.38
0.93,6.09,-0.39,-0.67,29.96,44.96,0.0,0.0,1.0,16.53
2.51,-0.38,-0.36,4.66,0.73,15.73,0.0,0.0,1.0,13.93
-1.35,0.06,6.94,-0.45,14.67,29.67,0.0,0.0,1.0,19.92
6.02,3.35,5.96,-1.82,13.44,28.44,0.0,0.0,1.0,12.42
-0.7,3.97,-6.26,-5.9,22.94,37.94,0.0,0.0,1.0,27.17
1.64,-5.34,2.8,-1.0,22.66,37.66,0.0,0.0,1.0,10.78
3.2,3.45,5.88,-3.49,28.52,43.52,0.0,0.0,1.0,17.86
-1.84,-3.58,-4.31,-5.41,28.18,43.18,0.0,0.0,1.0,7.36
-2.18,4.03,1.82,-6.56,29.82,44.82,0.0,0.0,1.0,27.17
3.05,1.89,1.22,0.51,20.32,35.32,0.0,0.0,1.0,5.48
-4.59,-4.63,-5.85,-2.21,57.54,72.54,0.0,0.0,1.0,6.54
3.57,-5.2,-3.35,1.05,33.7,48.7,0.0,0.0,1.0,22.37
-1.45,-1.61,4.21,3.17,44.19,59.19,0.0,0.0,1.0,17.78
