x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
-3.71,-4.08,5.36,1.76,8.67,23.67,0.0,0.0,1.0,25.89
-5.24,-6.11,-1.8,0.55,37.52,52.52,0.0,0.0,1.0,17.98
6.38,-2.54,-6.98,-0.32,13.06,28.06,0.0,0.0,1.0,32.5
5.76,-3.05,5.96,1.71,57.75,72.75,0.0,0.0,1.0,11.45
-0.72,6.15,-3.54,-1.96,34.33,49.33,0.0,0.0,1.0,20.62
-3.8,4.49,0.04,6.37,36.07,51.07,0.0,0.0,1.0,10.26
-2.42,6.01,-1.75,-2.48,29.21,44.21,0.0,0.0,1.0,20.43
-2.34,-4.92,-0.97,5.31,14.23,29.23,0.0,0.0,1.0,24.78
0.13,3.17,-3.26,3.45,59.26,74.26,0.0,0.0,1.0,8.18
3.73,0.91,-3.97,-5.86,22.26,37.26,0.0,0.0,1.0,24.61
4.15,5.87,-6.9,3.3,10.93,25.93,0.0,0.0,1.0,27.23
2.64,2.21,0.4,-6.15,34.43,49.43,0.0,0.0,1.0,20.76
4.6,-3.98,6.27,0.65,31.68,46.68,0.0,0.0,1.0,11.82
1.65,4.22,-6.79,5.68,2.87,17.87,0.0,0.0,1.0,20.56
-4.18,-5.85,6.68,-2.24,11.66,26.66,0.0,0.0,1.0,27.47
1.7,-1.52,3.08,-3.51,26.16,41.16,0.0,0.0,1.0,5.82
-0.81,1.91,3.86,4.31,19.4,34.4,0.0,0.0,1.0,12.59
-3.14,-4.85,-1.66,4.93,10.75,25.75,0.0,0.0,1.0,23.73
3.18,-1.73,2.81,0.96,3.27,18.27,0.0,0.0,1.0,6.52
-1.83,1.69,-6.27,6.16,5.14,20.14,0.0,0.0,1.0,15.14
0.77,6.61,-2.15,5.66,17.71,32.71,0.0,0.0,1.0,7.36
-0.95,4.92,-5.72,-6.32,24.49,39.49,0.0,0.0,1.0,29.31
-6.63,-0.69,4.15,6.67,17.8,32.8,0.0,0.0,1.0,31.33
-4.96,1.83,-1.46,-0.56,21.76,36.76,0.0,0.0,1.0,10.16
-5.16,3.19,-4.11,-1.6,30.39,45.39,0.0,0.0,1.0,11.77
-3.69,2.76,0.43,-2.49,49.39,64.39,0.0,0.0,1.0,16.02
-4.35,-0.43,-1.27,-3.4,4.68,19.68,0.0,0.0,1.0,10.26
3.87,4.94,4.43,-5.33,25.57,40.57,0.0,0.0,1.0,24.69
-5.33,0.15,3.83,-4.32,22.97,37.97,0.0,0.0,1.0,24.46
-6.81,-5.6,2.86,3.49,12.89,27.89,0.0,0.0,1.0,31.86
-3.87,4.8,-5.74,6.86,20.27,35.27,0.0,0.0,1.0,6.69
-2.14,4.08,-6.73,3.89,4.32,19.32,0.0,0.0,1.0,11.02
1.5,6.03,6.3,-2.12,14.09,29.09,0.0,0.0,1.0,22.7
4.26,-3.77,2.57,6.21,24.05,39.05,0.0,0.0,1.0,24.31
-4.22,5.16,4.54,-2.25,15.55,30.55,0.0,0.0,1.0,27.55
2.09,6.78,-3.85,0.27,24.0,39.0,0.0,0.0,1.0,21.15
-4.35,-1.48,-3.35,-3.94,56.47,71.47,0.0,0.0,1.0,6.38
2.69,6.27,-2.95,-6.61,6.76,21.76,0.0,0.0,1.0,33.75
1.92,-4.7,-1.41,0.69,20.24,35.24,0.0,0.0,1.0,15.19
-5.3,-1.77,-4.7,-3.99,25.59,40.59,0.0,0.0,1.0,5.52
-1.42,-4.09,-4.84,-4.73,28.89,43.89,0.0,0.0,1.0,8.35
0.2,6.01,-1.87,3.56,40.94,55.94,0.0,0.0,1.0,7.71
-3.99,2.43,-5.35,-5.3,32.75,47.75,0.0,0.0,1.0,18.84
0.07,6.89,5.19,-4.38,29.04,44.04,0.0,0.0,1.0,29.72
-1.81,-0.72,-6.86,0.59,3.92,18.92,0.0,0.0,1.0,12.53
6.34,-1.43,-4.77,0.61,10.87,25.87,0.0,0.0,1.0,27.11
