x_o,y_o,x_d,y_d,ear_dep_time,late_dep_time,ear_arr_time,late_arr_time,isinbound,direct_ridetime
5.8,-5.03,2.2,3.5,32.66,47.66,0.0,0.0,1.0,22.23
-2.47,1.33,-0.05,0.35,14.05,29.05,0.0,0.0,1.0,6.26
-4.07,-5.56,-6.97,5.59,28.08,43.08,0.0,0.0,1.0,27.67
3.22,3.95,5.03,-1.54,21.37,36.37,0.0,0.0,1.0,13.87
5.75,3.87,5.81,-3.28,46.18,61.18,0.0,0.0,1.0,17.16
0.04,2.07,-5.65,-2.02,32.88,47.88,0.0,0.0,1.0,16.82
-0.79,2.1,-2.02,-4.87,43.48,58.48,0.0,0.0,1.0,17.0
2.01,-4.2,0.16,5.84,23.63,38.63,0.0,0.0,1.0,24.5
-1.21,5.07,-1.49,-4.37,8.8,23.8,0.0,0.0,1.0,22.67
-4.57,2.7,-2.68,-1.69,16.65,31.65,0.0,0.0,1.0,11.46
4.01,3.95,-1.62,-3.0,10.16,25.16,0.0,0.0,1.0,21.47
3.85,3.97,2.23,-0.16,2.02,17.02,0.0,0.0,1.0,10.65
-3.87,5.99,4.01,4.49,41.1,56.1,0.0,0.0,1.0,19.23
2.66,-0.71,-1.02,1.0,23.37,38.37,0.0,0.0,1.0,9.74
-4.12,3.38,6.06,-0.33,27.66,42.66,0.0,0.0,1.0,26.01
2.62,3.27,-5.59,-1.86,38.74,53.74,0.0,0.0,1.0,23.22
-3.9,-5.22,1.97,2.63,21.65,36.65,0.0,0.0,1.0,23.53
4.02,-5.44,-1.89,-6.49,51.92,66.92,0.0,0.0,1.0,14.42
-2.52,4.56,2.33,-5.46,22.66,37.66,0.0,0.0,1.0,26.71
2.35,-6.45,0.4,-4.04,55.08,70.08,0.0,0.0,1.0,7.44
-4.9,0.54,-0.86,-0.27,47.02,62.02,0.0,0.0,1.0,9.89
0.12,5.55,6.22,2.63,15.93,30.93,0.0,0.0,1.0,16.23
-5.55,-6.53,-6.62,2.31,13.53,28.53,0.0,0.0,1.0,21.36
0.97,0.44,4.47,4.59,11.34,26.34,0.0,0.0,1.0,13.03
-0.95,6.17,4.23,4.96,36.68,51.68,0.0,0.0,1.0,12.76
1.23,-4.02,4.2,-1.37,0.0,0.0,32.86,47.86,0.0,9.55
-5.86,3.61,-2.5,-3.07,0.0,0.0,40.08,55.08,0.0,17.96
-5.36,-2.19,-4.27,4.29,0.0,0.0,26.25,41.25,0.0,15.76
0.38,4.36,-4.73,-4.28,0.0,0.0,50.56,65.56,0.0,24.1
-1.65,-6.78,-1.49,-3.73,0.0,0.0,74.27,89.27,0.0,7.34
2.42,4.92,5.44,6.7,0.0,0.0,19.14,34.14,0.0,8.41
2.94,5.1,-3.01,-5.99,0.0,0.0,60.71,75.71,0.0,30.2
-3.98,-6.71,6.5,6.15,0.0,0.0,70.33,85.33,0.0,39.83
6.73,1.1,-5.7,-5.47,0.0,0.0,65.87,80.87,0.0,33.72
-0.53,-6.37,-0.87,3.47,0.0,0.0,89.27,104.27,0.0,23.62
3.18,3.73,-4.75,5.34,0.0,0.0,86.45,101.45,0.0,19.42
3.04,2.95,-3.56,4.04,0.0,0.0,72.02,87.02,0.0,16.05
0.18,2.27,6.29,-0.09,0.0,0.0,39.87,54.87,0.0,15.71
5.81,-4.63,-3.53,-5.97,0.0,0.0,50.08,65.08,0.0,22.63
-6.2,4.06,5.62,6.1,0.0,0.0,58.9,73.9,0.0,28.79
0.35,0.76,6.79,4.57,0.0,0.0,42.64,57.64,0.0,17.96
5.12,-2.7,-2.03,2.02,0.0,0.0,75.68,90.68,0.0,20.56
-5.47,-5.26,-2.46,-4.06,0.0,0.0,75.59,90.59,0.0,7.78
3.88,0.08,-5.39,4.89,0.0,0.0,62.06,77.06,0.0,25.07
-3.38,2.67,4.8,2.61,0.0,0.0,71.15,86.15,0.0,19.65
-1.48,3.27,-3.06,1.86,0.0,0.0,77.2,92.2,0.0,5.09
-0.79,-6.87,5.95,-6.99,0.0,0.0,83.04,98.04,0.0,16.17
2.44,6.21,4.65,2.9,0.0,0.0,17.49,32.49,0.0,9.54
-6.91,1.71,-4.01,-5.8,0.0,0.0,73.15,88.15,0.0,19.32
2.93,-6.04,-1.46,-4.77,0.0,0.0,88.21,103.21,0.0,10.97
