ID,type,capacity,speed,consumption,maxBattery,depot
1,1,15,25.0,0.552,69.0,2
2,1,15,25.0,0.552,69.0,2
3,1,15,25.0,0.552,69.0,1
4,1,15,25.0,0.552,69.0,2
5,1,15,25.0,0.552,69.0,1
6,1,15,25.0,0.552,69.0,1
7,1,15,25.0,0.552,69.0,1
8,1,15,25.0,0.552,69.0,1
9,1,15,25.0,0.552,69.0,1
10,1,15,25.0,0.552,69.0,2
11,1,15,25.0,0.552,69.0,2
12,1,15,25.0,0.552,69.0,2
13,1,15,25.0,0.552,69.0,1
14,1,15,25.0,0.552,69.0,1
15,1,15,25.0,0.552,69.0,2
16,1,15,25.0,0.552,69.0,1
17,1,15,25.0,0.552,69.0,1
18,1,15,25.0,0.552,69.0,2
19,1,15,25.0,0.552,69.0,2
20,1,15,25.0,0.552,69.0,1
21,1,15,25.0,0.552,69.0,2
22,1,15,25.0,0.552,69.0,2
23,1,15,25.0,0.552,69.0,2
24,1,15,25.0,0.552,69.0,2
25,1,15,25.0,0.552,69.0,1
26,1,15,25.0,0.552,69.0,2
27,1,15,25.0,0.552,69.0,1
28,1,15,25.0,0.552,69.0,1
29,2,22,25.0,0.8280000000000001,103.5,1
30,2,22,25.0,0.8280000000000001,103.5,1
31,2,22,25.0,0.8280000000000001,103.5,2
32,2,22,25.0,0.8280000000000001,103.5,1
33,2,22,25.0,0.8280000000000001,103.5,1
34,2,22,25.0,0.8280000000000001,103.5,2
35,2,22,25.0,0.8280000000000001,103.5,2
36,2,22,25.0,0.8280000000000001,103.5,1
37,2,22,25.0,0.8280000000000001,103.5,1
38,2,22,25.0,0.8280000000000001,103.5,1
39,2,22,25.0,0.8280000000000001,103.5,1
40,2,22,25.0,0.8280000000000001,103.5,2
41,2,22,25.0,0.8280000000000001,103.5,2
42,2,22,25.0,0.8280000000000001,103.5,1
43,2,22,25.0,0.8280000000000001,103.5,1
44,2,22,25.0,0.8280000000000001,103.5,1
45,2,22,25.0,0.8280000000000001,103.5,2
46,2,22,25.0,0.8280000000000001,103.5,1
47,2,22,25.0,0.8280000000000001,103.5,1
48,2,22,25.0,0.8280000000000001,103.5,1
49,2,22,25.0,0.8280000000000001,103.5,2
50,2,22,25.0,0.8280000000000001,103.5,1
51,2,22,25.0,0.8280000000000001,103.5,2
52,2,22,25.0,0.8280000000000001,103.5,1
53,2,22,25.0,0.8280000000000001,103.5,1
54,2,22,25.0,0.8280000000000001,103.5,1
55,2,22,25.0,0.8280000000000001,103.5,2
56,2,22,25.0,0.8280000000000001,103.5,1
